Country_KR,Country,Country_Code,Series_Code,Indicator_Name,Signal_KR,Latest_Year,Latest_Value,WDI_Coverage_2019_2025,Score_Direction,Need_Weight,Latest_Value_Display
네팔,Nepal,NPL,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,10.465,7,higher_is_higher_need,0.05,10.5%
네팔,Nepal,NPL,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,66.999424884859,7,context,0.0,67.0%
네팔,Nepal,NPL,SP.POP.TOTL,Population,인구규모,2025.0,29618118.0,7,context,0.0,29.6M
네팔,Nepal,NPL,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.535964084109792,6,context,0.0,0.54 tCO2e/cap
카메룬,Cameroon,CMR,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,1972.3815800786,7,lower_is_higher_need,0.25,"$1,972"
카메룬,Cameroon,CMR,SI.POV.DDAY,Poverty rate,빈곤,2021.0,26.7,1,higher_is_higher_need,0.15,26.7%
카메룬,Cameroon,CMR,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,63.968,6,lower_is_higher_need,0.1,64.0 years
카메룬,Cameroon,CMR,SE.SEC.ENRR,Secondary enrollment,교육,2023.0,44.840795775403,3,lower_is_higher_need,0.15,44.8%
카메룬,Cameroon,CMR,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,72.0,5,lower_is_higher_need,0.15,72.0%
카메룬,Cameroon,CMR,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,46.25880051,6,lower_is_higher_need,0.15,46.3%
카메룬,Cameroon,CMR,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,3.602,7,higher_is_higher_need,0.05,3.6%
카메룬,Cameroon,CMR,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,55.6692041661323,7,context,0.0,55.7%
카메룬,Cameroon,CMR,SP.POP.TOTL,Population,인구규모,2025.0,29879337.0,7,context,0.0,29.9M
카메룬,Cameroon,CMR,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.353419532873246,6,context,0.0,0.35 tCO2e/cap
키르기스스탄,Kyrgyz Republic,KGZ,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,3080.96893823359,7,lower_is_higher_need,0.25,"$3,081"
키르기스스탄,Kyrgyz Republic,KGZ,SI.POV.DDAY,Poverty rate,빈곤,2024.0,2.2,6,higher_is_higher_need,0.15,2.2%
키르기스스탄,Kyrgyz Republic,KGZ,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,72.4,6,lower_is_higher_need,0.1,72.4 years
키르기스스탄,Kyrgyz Republic,KGZ,SE.SEC.ENRR,Secondary enrollment,교육,2025.0,91.7258848952929,6,lower_is_higher_need,0.15,91.7%
키르기스스탄,Kyrgyz Republic,KGZ,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,100.0,5,lower_is_higher_need,0.15,100.0%
키르기스스탄,Kyrgyz Republic,KGZ,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,92.0286026,6,lower_is_higher_need,0.15,92.0%
키르기스스탄,Kyrgyz Republic,KGZ,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,3.526,7,higher_is_higher_need,0.05,3.5%
키르기스스탄,Kyrgyz Republic,KGZ,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,34.7463537261057,7,context,0.0,34.7%
키르기스스탄,Kyrgyz Republic,KGZ,SP.POP.TOTL,Population,인구규모,2025.0,7343064.0,7,context,0.0,7.3M
키르기스스탄,Kyrgyz Republic,KGZ,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,1.48784220370685,6,context,0.0,1.49 tCO2e/cap
에콰도르,Ecuador,ECU,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,7125.27618527738,7,lower_is_higher_need,0.25,"$7,125"
에콰도르,Ecuador,ECU,SI.POV.DDAY,Poverty rate,빈곤,2025.0,3.4,7,higher_is_higher_need,0.15,3.4%
에콰도르,Ecuador,ECU,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,77.579,6,lower_is_higher_need,0.1,77.6 years
에콰도르,Ecuador,ECU,SE.SEC.ENRR,Secondary enrollment,교육,2023.0,92.8118025876465,5,lower_is_higher_need,0.15,92.8%
에콰도르,Ecuador,ECU,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,98.7,5,lower_is_higher_need,0.15,98.7%
에콰도르,Ecuador,ECU,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,77.17273115,6,lower_is_higher_need,0.15,77.2%
에콰도르,Ecuador,ECU,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,3.308,7,higher_is_higher_need,0.05,3.3%
에콰도르,Ecuador,ECU,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,63.3918189058262,7,context,0.0,63.4%
에콰도르,Ecuador,ECU,SP.POP.TOTL,Population,인구규모,2025.0,18289896.0,7,context,0.0,18.3M
에콰도르,Ecuador,ECU,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,2.64474970000791,6,context,0.0,2.64 tCO2e/cap
스리랑카,Sri Lanka,LKA,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,5002.07904353724,7,lower_is_higher_need,0.25,"$5,002"
스리랑카,Sri Lanka,LKA,SI.POV.DDAY,Poverty rate,빈곤,2019.0,2.7,1,higher_is_higher_need,0.15,2.7%
스리랑카,Sri Lanka,LKA,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,77.672,6,lower_is_higher_need,0.1,77.7 years
스리랑카,Sri Lanka,LKA,SE.SEC.ENRR,Secondary enrollment,교육,2023.0,87.9534065332114,3,lower_is_higher_need,0.15,88.0%
스리랑카,Sri Lanka,LKA,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,100.0,5,lower_is_higher_need,0.15,100.0%
스리랑카,Sri Lanka,LKA,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,54.59,6,lower_is_higher_need,0.15,54.6%
스리랑카,Sri Lanka,LKA,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,4.005,7,higher_is_higher_need,0.05,4.0%
스리랑카,Sri Lanka,LKA,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,20.4501355167937,7,context,0.0,20.5%
스리랑카,Sri Lanka,LKA,SP.POP.TOTL,Population,인구규모,2025.0,21756000.0,7,context,0.0,21.8M
스리랑카,Sri Lanka,LKA,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,1.06473352801606,6,context,0.0,1.06 tCO2e/cap
방글라데시,Bangladesh,BGD,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,2597.34352335275,7,lower_is_higher_need,0.25,"$2,597"
방글라데시,Bangladesh,BGD,SI.POV.DDAY,Poverty rate,빈곤,2022.0,5.9,1,higher_is_higher_need,0.15,5.9%
방글라데시,Bangladesh,BGD,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,74.93,6,lower_is_higher_need,0.1,74.9 years
방글라데시,Bangladesh,BGD,SE.SEC.ENRR,Secondary enrollment,교육,2024.0,64.2997191043961,6,lower_is_higher_need,0.15,64.3%
방글라데시,Bangladesh,BGD,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,99.5,5,lower_is_higher_need,0.15,99.5%
방글라데시,Bangladesh,BGD,IT.NET.USER.ZS,Internet users,디지털접근,2024.0,53.42171316,6,lower_is_higher_need,0.15,53.4%
방글라데시,Bangladesh,BGD,SL.UEM.TOTL.ZS,Unemployment,고용,2025.0,3.778,7,higher_is_higher_need,0.05,3.8%
방글라데시,Bangladesh,BGD,SP.URB.TOTL.IN.ZS,Urban population,도시화,2025.0,33.2395847043975,7,context,0.0,33.2%
방글라데시,Bangladesh,BGD,SP.POP.TOTL,Population,인구규모,2025.0,175686899.0,7,context,0.0,175.7M
방글라데시,Bangladesh,BGD,EN.GHG.CO2.PC.CE.AR5,CO2 per capita,탄소배출,2024.0,0.715539343541092,6,context,0.0,0.72 tCO2e/cap
미얀마,Myanmar,MMR,NY.GDP.PCAP.CD,GDP per capita,소득수준,2025.0,1488.87527836542,7,lower_is_higher_need,0.25,"$1,489"
미얀마,Myanmar,MMR,SI.POV.DDAY,Poverty rate,빈곤,,,0,higher_is_higher_need,0.15,N/A
미얀마,Myanmar,MMR,SP.DYN.LE00.IN,Life expectancy,보건·생활여건,2024.0,67.095,6,lower_is_higher_need,0.1,67.1 years
미얀마,Myanmar,MMR,SE.SEC.ENRR,Secondary enrollment,교육,,,0,lower_is_higher_need,0.15,N/A
미얀마,Myanmar,MMR,EG.ELC.ACCS.ZS,Access to electricity,전력접근,2023.0,76.8,5,lower_is_higher_need,0.15,76.8%
